Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rctch,Rdrs,Rdrs/yr,RszC,RsbC,RerC,RF/9,RF/G,PB,WP,SB,CS,CS%
120,Blake Swihart\swihabl01,27,BOS,AL,8,6,6,54,60,55,2,3,0,0.95,-1,-27,-1,-1,-24,-1,0,0,9.5,7.13,0,3,4,1,20%
121,Beau Taylor\taylobe11,29,TOT,MLB,10,9,6,75,72,69,3,0,0,1,0,5,0,-2,-32,0,0,0,8.64,7.2,1,7,2,3,60%
122,Beau Taylor\taylobe11,29,OAK,AL,9,8,6,69,66,63,3,0,0,1,1,9,1,-2,-37,0,0,0,8.61,7.33,1,6,2,3,60%
123,Beau Taylor\taylobe11,29,TOR,AL,1,1,0,6,6,6,0,0,0,1,0,-38,0,0,0,0,0,0,9,6,0,1,0,0,
124,Luis Torrens\torrelu01,23,SDP,NL,4,3,3,28,33,32,1,0,0,1,0,8,0,0,0,0,0,0,10.61,8.25,0,0,1,0,0%
125,Jose Trevino\trevijo01,26,TEX,AL,40,32,28,297.2,273,259,13,1,1,0.996,3,11,3,0,0,0,1,-1,8.22,6.8,1,14,9,7,44%
126,Christian Vazquez\vazquch01,28,BOS,AL,119,103,85,918,1066,994,71,1,6,0.999,2,2,2,5,6,7,2,1,10.44,8.95,9,55,36,22,38%
127,Meibrys Viloria\vilorme01,22,KCR,AL,41,39,36,345.1,316,294,21,1,2,0.997,4,13,4,-1,-4,-3,1,1,8.21,7.68,3,16,13,9,41%
128,Stephen Vogt\vogtst01,34,SFG,NL,60,49,43,455,440,415,24,1,0,0.998,-4,-10,-4,-5,-13,-1,-3,0,8.68,7.32,4,22,29,6,17%
129,Chad Wallach\wallach01,27,MIA,NL,14,12,12,119,140,132,7,1,1,0.993,-1,-13,-1,0,0,1,0,0,10.51,9.93,1,10,3,2,40%
130,Matt Wieters\wietema01,33,STL,NL,54,41,37,386.2,396,379,15,2,5,0.995,4,13,4,-2,-7,-5,2,1,9.17,7.3,2,9,11,8,42%
131,Bobby Wilson\wilsobo02,36,DET,AL,15,15,11,127.2,131,125,6,0,0,1,0,-2,0,1,8,1,-1,0,9.23,8.73,0,1,11,1,8%
132,Tony Wolters\wolteto01,27,COL,NL,112,102,90,904.1,849,773,75,1,12,0.999,5,6,5,8,10,-6,4,2,8.44,7.57,4,41,44,23,34%
133,Austin Wynns\wynnsau01,28,BAL,AL,25,20,19,182,188,173,12,3,1,0.984,-2,-16,-2,0,0,-1,0,1,9.15,7.4,2,10,11,3,21%
134,Seby Zavala\zavalse01,25,CHW,AL,3,3,2,23,26,22,3,1,0,0.962,0,16,0,0,0,0,0,0,9.78,8.33,0,0,1,1,50%
135,Mike Zunino\zuninmi01,28,TBR,AL,89,78,62,689.2,807,764,37,6,7,0.993,5,9,5,9,15,4,2,2,10.45,9,4,25,27,17,39%
